Year,Net Electricity Generation (TkWh)
1949,291.1
1950,329.141
1951,370.673
1952,399.224
1953,442.665
1954,471.686
1955,547.038
1956,600.668
1957,631.517
1958,645.098
1959,710.006
1960,755.549
1961,793.76
1962,854.535
1963,916.793
1964,983.99
1965,1055.252
1966,1144.35
1967,1214.365
1968,1329.443
1969,1442.182
1970,1531.868
1971,1612.633
1972,1749.662
1973,1860.71
1974,1867.14
1975,1917.649
1976,2037.696
1977,2124.323
1978,2206.331
1979,2247.372
1980,2286.439
1981,2294.812
1982,2241.211
1983,2310.285
1984,2416.304
1985,2469.841
1986,2487.31
1987,2572.127
1988,2704.25
1989,2848.227
1990,2901.322
1991,2935.561
1992,2934.374
1993,3043.897
1994,3088.725
1995,3194.23
1996,3284.141
1997,3329.375
1998,3457.416
1999,3529.982
2000,3637.529
2001,3580.053
2002,3698.458
2003,3721.159
2004,3808.36
2005,3902.192
2006,3908.077
2007,4005.343
2008,3974.349
2009,3809.837
2010,3972.386
2011,3948.186
2012,3890.358
2013,3903.715
2014,3936.961
2015,3920.407
2016,3918.977
2017,3878.625
2018,4020.877
2019,3968.348
2020,3853.656
2021,3957.181
2022,4073.892
2023,4022.339
